2018 Social Accounting Matrix for Indonesia,Code,amaiz,arice,aocer,aoils,aroot,avege,asugr,atoba,acott,afrui,acoff,aocrp,acatt,apoul,aoliv,afore,afish,amine,afood,abeve,atext,awood,achem,anmet,ametl,amach,aoman,aelec,awatr,acons,atrad,atran,ahotl,acomm,afsrv,areal,absrv,apadm,aeduc,aheal,aosrv,cmaiz,crice,cocer,coils,croot,cvege,csugr,ctoba,ccott,cfrui,ccoff,cocrp,ccatt,cpoul,coliv,cfore,cfish,cmine,cfood,cbeve,ctext,cwood,cchem,cnmet,cmetl,cmach,coman,celec,cwatr,ccons,ctrad,ctran,chotl,ccomm,cfsrv,creal,cbsrv,cpadm,ceduc,cheal,cosrv,trc,flab-n,flab-p,flab-s,flnd,fcap,ent,hhd-r1,hhd-r2,hhd-r3,hhd-r4,hhd-r5,hhd-u1,hhd-u2,hhd-u3,hhd-u4,hhd-u5,gov,dtax,etax,ftax,mtax,stax,s-i,dstk,row,total
Commodities - Poultry and eggs,cpoul,9,121,5,16,21,303,,4,,602,2,6,378,920,138,,,,77220,1,,,2,,,,,,,,,,27895,,,,,,,1906,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4669,7003,8716,9790,7768,3779,6139,8045,12903,20759,,,,,,,7016,,85,206220
Commodities - Other livestock,coliv,,,,,,,,,,,,,1,3,0,,,,11,3,568,0,12,,,,184,,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2176,3262,4068,4572,3630,1762,2859,3757,6029,9720,,,,,,,30,,5323,48254
Commodities - Forestry,cfore,0,0,,31,0,,0,0,,3,0,15,0,1,0,2,58,133,1503,16,1071,45624,1952,703,28,59,2215,,,65464,141,1,182,0,,0,6,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8155,8713,8576,6893,3171,2475,1892,1390,1213,655,,,,,,,3354,,50,165758
Commodities - Fisheries,cfish,,,,,,,,,,,,55,,100,,,15499,,180285,,,0,125,,,,674,,,,,,83626,,,,,464,,3409,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11606,19633,24293,28447,24029,6307,13633,18084,31025,56444,,,,,,,10835,,7135,535712
Commodities - Mining,cmine,,,,,,,,,,,,3,,,,,,166753,2505,124,104,37,519653,64397,178595,1316,2468,72113,,167158,302,300,17,7,,39,3359,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3731,5292,6983,7964,6607,4479,6614,7750,11851,21674,,,,,,,21825,,764833,2048854
Commodities - Processed foods,cfood,,,,358,,,,,,,223,950,15961,73313,4676,41,21310,1930,530778,17998,7505,1352,7899,296,888,865,711,367,117,1911,3045,19984,217877,571,2043,315,673,1899,263,40320,2356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129304,170009,197366,209785,170618,86690,142746,176709,291321,542520,33153,,,,,,19872,,422492,3571379
Commodities - Beverage and tobacco,cbeve,0,1,0,0,0,0,0,0,0,0,0,33,0,0,0,2,0,6,1922,50707,12,2,173,9,7,7,18,0,0,57,190,830,10605,10,755,0,539,24,797,1708,668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22436,39424,51443,52682,35945,16732,34410,42533,68275,99837,,,,,,,,,18978,551779
"Commodities - Textiles, clothing and footwear",ctext,15,218,7,164,44,336,6,7,0,711,65,484,2,5,1,147,190,1089,570,180,167427,915,1928,243,1433,580,7420,295,6,7253,9507,558,749,236,213,294,898,3773,2276,831,6984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7677,11658,16066,19139,20059,6261,9819,13544,25460,71317,,,,,,,25400,,280050,724512
Commodities - Wood and paper products,cwood,3,32,3,79,58,58,4,3,0,543,61,335,5,12,2,30,39,2443,624,12053,1180,122055,11751,4016,928,3435,27111,63,5,155432,54418,569,449,31268,12892,1120,5832,37978,54510,504,2977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,1906,3299,5289,9386,969,2321,3699,8677,34435,,,,,,,3628,,153229,772719
Commodities - Chemicals and petroleum,cchem,936,10990,695,9646,2822,11074,2384,872,1,14570,2629,8817,435,944,180,2652,14760,46350,16451,7228,50695,41654,277180,35083,63482,41165,30668,74178,2989,659665,224675,508799,6190,5886,7933,5871,20703,29831,35189,40423,25881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21613,36070,53013,65580,72983,17994,30293,45009,87132,257712,,,,,,,32579,,314772,3377326
Commodities - Non-metal minerals,cnmet,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,,0,,1,38,2676,8896,101,161,500,0,,306622,1,0,,0,,1349,112,10,2188,399,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,765,1124,1475,1708,249,474,718,1397,3618,,,,,,,1996,,16104,353872
Commodities - Metals and metal products,cmetl,29,387,19,428,93,30,16,37,0,522,141,398,15,33,5,94,62,290,2597,126,1705,3629,13808,9762,152711,14737,20200,330,42,600877,22427,2759,699,1152,6920,634,1055,1169,1000,569,5495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969,2365,4512,8548,24095,576,1551,3190,8542,80218,,,,,,,33250,51476,169148,1255442
"Commodities - Machinery, equipment and vehicles",cmach,66,923,44,1131,140,73,54,52,0,1244,355,949,19,45,8,1333,2231,34497,5781,2018,6306,8466,17117,5161,27276,264999,11691,7669,1112,116421,54648,98228,3263,27907,5700,1827,20711,7553,14981,7563,12153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,3082,7530,17737,83683,742,3129,6880,20206,203352,,,,,,,501486,235165,316685,2172393
Commodities - Other manufacturing,coman,,,,0,,,,,,0,0,0,,,,0,1,256,1548,224,561,375,852,49,303,556,4501,118,5,5306,5564,828,580,1718,1687,467,2053,1180,7423,6268,11027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3102,5034,7349,9443,12142,2255,3711,5336,10849,33685,,,,,,,44857,55107,99763,346085
"Commodities - Electricity, gas and steam",celec,2,20,1,46,5,18,4,4,0,167,15,63,26,57,10,160,394,2010,6466,1588,7849,6324,13199,7449,14064,8286,5686,271856,1324,8827,36109,8272,4009,6278,4252,1013,2565,5016,1997,3244,4282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4928,7378,10506,12653,12961,4971,7540,11483,22960,72318,,,,,,,,,1,600654
Commodities - Water supply and sewage,cwatr,0,6,0,6,1,2,0,0,0,4,2,4,26,58,10,1,62,577,1114,329,730,690,940,714,11634,536,216,343,1943,957,4202,920,498,214,84,71,570,223,324,1835,1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,674,972,1285,1338,990,1626,2855,5973,16731,492,,,,,,99,,,64348
Commodities - Construction,ccons,479,3642,98,13662,1860,1151,47,47,,1588,1944,3435,111,249,42,5462,986,37918,355,3071,401,387,5782,6314,3028,32,147,924,84,22765,59451,30275,1603,14540,9374,39780,10886,22137,10267,778,1274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4977,10815,18621,31779,77157,3621,11171,13144,33758,232015,,,,,,,3766617,,4369,4524423
Commodities - Wholesale and retail trade,ctrad,413,3171,189,3639,981,2157,484,178,1,6099,988,1850,4264,13120,1063,1622,9001,13489,231409,15623,26745,29215,40116,10702,19383,98518,13035,4675,228,357854,61364,91359,86579,16027,14489,2839,15214,13576,22037,21211,14139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690021,,,,,,,7,34,39,82,166,8,7,10,43,270,,,,,,,,,2671,2962404
Commodities - Transportation and storage,ctran,17,191,14,310,33,62,45,13,0,466,102,327,12,27,5,516,246,35732,3723,6512,6138,21972,23380,12725,15677,10711,13181,6680,866,157341,89708,127646,1948,10806,4719,875,17637,47365,20898,7008,1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1238400,,,,,,,2683,4352,6319,8276,10335,3352,4942,9020,18211,66392,,,,,,,,,38824,2058611
Commodities - Accommodation and food services,chotl,6,73,5,104,13,29,0,0,0,58,33,66,1,2,0,64,16,3631,2560,1470,2754,3331,6821,4239,3140,2774,1911,491,50,47859,30934,17195,747,4290,1581,485,3529,96877,3365,416,1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46845,56699,60439,58313,39579,27757,39558,47818,75582,130738,,,,,,,,,336228,1161575
Commodities - Information and communication,ccomm,0,0,0,42,0,2,5,1,0,92,14,64,0,1,0,407,1,4170,11850,9321,9752,7341,18542,2879,3641,8753,12206,3284,96,38904,65716,31925,5317,145020,41115,6068,29001,17419,39589,5556,6876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8430,12889,18609,25517,30043,7778,14822,22203,48764,163123,479,,,,,,17271,,,894898
Commodities - Finance and insurance,cfsrv,57,680,47,8112,142,325,669,193,1,1853,1098,3280,189,393,67,706,2141,24437,13607,6277,8583,10755,13501,2405,5968,7131,5365,4532,222,43319,169909,35040,4887,15546,69759,14030,22670,37379,6588,4472,4697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193,1642,2417,3470,7714,1345,2744,4615,11570,70511,15436,,,,,,,,8183,681866
Commodities - Real estate activities,creal,0,0,,2,0,0,0,0,,1,1,1,,,,,3,784,104,10,167,360,648,152,760,297,19,94,4,3382,47364,1983,513,4911,2107,396,2389,313,1571,256,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16298,24807,35599,42732,42162,17774,27694,44341,87613,277660,,,,,,,,,,685961
